"","Location_ID","Field_Collection_Start_Date","Field_Collection_End_Date","start","end","new_Result_Value","storm_length","id"
"256","SEAC1S8D_OUT",2011-11-16,2011-11-17,15294,15295,3145.99648,1,323
"68","SEAC1S8D_OUT",2012-01-04,2012-01-05,15343,15344,10534.6991,1,324
"108","SEAC1S8D_OUT",2012-01-24,2012-01-24,15363,15363,3917.912448,0,325
"16","SEAC1S8D_OUT",2012-02-17,2012-02-17,15387,15387,8687.59424,0,326
"159","SEAC1S8D_OUT",2012-05-20,2012-05-21,15480,15481,7604.759808,1,327
"285","SEAC1S8D_OUT",2012-06-22,2012-06-23,15513,15514,6749.30928,1,328
"339","SEAI1S8D_OUT",2009-10-22,2009-10-23,14539,14540,905.0898784,1,329
"506","SEAI1S8D_OUT",2009-12-14,2009-12-15,14592,14593,676.4600352,1,330
"405","SEAI1S8D_OUT",2009-12-31,2010-01-02,14609,14611,2066.843232,2,331
"98","SEAI1S8D_OUT",2010-01-24,2010-01-25,14633,14634,1533.467987,1,332
"133","SEAI1S8D_OUT",2010-03-11,2010-03-12,14679,14680,4768.54912,1,333
"170","SEAI1S8D_OUT",2010-03-25,2010-03-26,14693,14694,1379.792714,1,334
"66","SEAI1S8D_OUT",2010-03-28,2010-03-29,14696,14697,4372.11392,1,335
"42","SEAI1S8D_OUT",2010-04-01,2010-04-03,14700,14702,4372.11392,2,336
"198","SEAI1S8D_OUT",2010-04-26,2010-04-27,14725,14726,963.3941696,1,337
"222","SEAI1S8D_OUT",2010-08-31,2010-08-31,14852,14852,535.4990048,0,338
"238","SEAI1S8D_OUT",2010-09-15,2010-09-15,14867,14867,200.2111027,0,339
"263","SEAI1S8D_OUT",2010-10-08,2010-10-10,14890,14892,3910.266912,2,340
"387","SEAI1S8D_OUT",2010-11-05,2010-11-07,14918,14920,2193.277744,2,341
"304","SEAI1S8D_OUT",2010-11-09,2010-11-09,14922,14922,204.4501277,0,342
"491","SEAI1S8D_OUT",2010-11-29,2010-12-01,14942,14944,1682.244454,2,343
"494","SEAI1S8D_OUT",2010-12-07,2010-12-08,14950,14951,2449.120032,1,344
"84","SEAI1S8D_OUT",2011-01-12,2011-01-12,14986,14986,5201.229824,0,345
"95","SEAI1S8D_OUT",2011-01-20,2011-01-21,14994,14995,3541.582176,1,346
"9","SEAI1S8D_OUT",2011-02-12,2011-02-12,15017,15017,1327.548218,0,347
"164","SEAI1S8D_OUT",2011-03-24,2011-03-25,15057,15058,826.7372928,1,348
"149","SEAI1S8D_OUT",2011-05-14,2011-05-15,15108,15109,5591.15216,1,349
"278","SEAI1S8D_OUT",2011-05-25,2011-05-25,15119,15119,583.32608,0,350
"233","SEAI1S8D_OUT",2011-10-02,2011-10-03,15249,15250,408.4415232,1,351
"360","SEAI1S8D_OUT",2011-10-28,2011-10-28,15275,15275,1018.640246,0,352
"380","SEAI1S8D_OUT",2011-11-02,2011-11-02,15280,15280,933.0951936,0,353
"392","SEAI1S8D_OUT",2011-11-11,2011-11-11,15289,15289,635.995328,0,354
"252","SEAI1S8D_OUT",2011-11-16,2011-11-17,15294,15295,925.1664896,1,355
"402","SEAI1S8D_OUT",2011-12-26,2011-12-27,15334,15335,289.2815971,1,356
"117","SEAI1S8D_OUT",2012-01-04,2012-01-05,15343,15344,919.4748128,1,357
"3","SEAI1S8D_OUT",2012-01-29,2012-01-30,15368,15369,3853.633312,1,358
"18","SEAI1S8D_OUT",2012-02-17,2012-02-18,15387,15388,3862.41152,1,359
"281","SEAI1S8D_OUT",2012-06-22,2012-06-23,15513,15514,1569.062205,1,360
"294","SEAI1S8D_OUT",2012-07-20,2012-07-20,15541,15541,1483.120717,0,361
"54","SEAR1S8D_OUT",2009-02-25,2009-02-25,14300,14300,67.8470528,0,362
"129","SEAR1S8D_OUT",2009-03-05,2009-03-05,14308,14308,324.22736,0,363
"356","SEAR1S8D_OUT",2009-10-28,2009-10-29,14545,14546,56.17486784,1,364
"384","SEAR1S8D_OUT",2009-11-05,2009-11-06,14553,14554,436.07872,1,365
"410","SEAR1S8D_OUT",2009-12-31,2010-01-01,14609,14610,242.1907587,1,366
"77","SEAR1S8D_OUT",2010-01-07,2010-01-09,14616,14618,749.120944,2,367
"124","SEAR1S8D_OUT",2010-02-10,2010-02-12,14650,14652,181.9637568,2,368
"12","SEAR1S8D_OUT",2010-02-15,2010-02-16,14655,14656,194.3806736,1,369
"25","SEAR1S8D_OUT",2010-02-23,2010-02-24,14663,14664,38.72605568,1,370
"139","SEAR1S8D_OUT",2010-03-11,2010-03-12,14679,14680,832.797088,1,371
"178","SEAR1S8D_OUT",2010-03-25,2010-03-26,14693,14694,62.23183136,1,372
"214","SEAR1S8D_OUT",2010-08-31,2010-08-31,14852,14852,93.19625216,0,373
"234","SEAR1S8D_OUT",2010-09-15,2010-09-16,14867,14868,89.37348416,1,374
"329","SEAR1S8D_OUT",2010-10-08,2010-10-10,14890,14892,376.0810842,2,375
"350","SEAR1S8D_OUT",2010-10-23,2010-10-24,14905,14906,421.3256672,1,376
"371","SEAR1S8D_OUT",2010-10-30,2010-10-31,14912,14913,85.05800384,1,377
"49","SEAR1S8D_OUT",2010-11-17,2010-11-18,14930,14931,142.8610877,1,378
"485","SEAR1S8D_OUT",2010-11-29,2010-11-30,14942,14943,417.531216,1,379
"120","SEAR1S8D_OUT",2011-01-06,2011-01-07,14980,14981,139.7575664,1,380
"90","SEAR1S8D_OUT",2011-01-12,2011-01-12,14986,14986,761.2405344,0,381
"93","SEAR1S8D_OUT",2011-01-20,2011-01-21,14994,14995,296.7005987,1,382
"4","SEAR1S8D_OUT",2011-02-12,2011-02-12,15017,15017,290.2273782,0,383
"153","SEAR1S8D_OUT",2011-05-14,2011-05-15,15108,15109,722.927904,1,384
"229","SEAR1S8D_OUT",2011-09-17,2011-09-18,15234,15235,24.54783392,1,385
"375","SEAR1S8D_OUT",2011-11-02,2011-11-02,15280,15280,119.0126787,0,386
"306","SEAR1S8D_OUT",2011-11-11,2011-11-11,15289,15289,24.77153664,0,387
"259","SEAR1S8D_OUT",2011-11-16,2011-11-16,15294,15294,131.7325853,0,388
"510","SEAR1S8D_OUT",2011-12-26,2011-12-28,15334,15336,202.0658531,2,389
"110","SEAR1S8D_OUT",2012-01-24,2012-01-24,15363,15363,80.0232768,0,390
"35","SEAR1S8D_OUT",2012-01-29,2012-01-30,15368,15369,200.3243699,1,391
"22","SEAR1S8D_OUT",2012-02-20,2012-02-21,15390,15391,134.9493738,1,392
"30","SEAR1S8D_OUT",2012-02-24,2012-02-25,15394,15395,461.847008,1,393
"57","SEAR1S8D_OUT",2012-02-28,2012-02-29,15398,15399,195.7427117,1,394
"156","SEAR1S8D_OUT",2012-05-20,2012-05-21,15480,15481,45.0095536,1,395
"288","SEAR1S8D_OUT",2012-06-22,2012-06-23,15513,15514,327.5517523,1,396
"1092","SNO_COM",2009-08-10,2009-08-11,14466,14467,333.7418048,1,397
"1149","SNO_COM",2009-09-19,2009-09-19,14506,14506,536.3485088,0,398
"1233","SNO_COM",2009-10-23,2009-10-23,14540,14540,716.3017728,0,399
"1362","SNO_COM",2009-11-13,2009-11-15,14561,14563,555.9154176,2,400
"1493","SNO_COM",2009-12-14,2009-12-15,14592,14593,486.765792,1,401
"461","SNO_COM",2010-01-08,2010-01-10,14617,14619,839.1966848,2,402
"539","SNO_COM",2010-01-24,2010-01-25,14633,14634,441.74208,1,403
"599","SNO_COM",2010-02-10,2010-02-12,14650,14652,388.0534272,2,404
"800","SNO_COM",2010-03-25,2010-03-26,14693,14694,141.1026144,1,405
"1081","SNO_COM",2010-08-07,2010-08-08,14828,14829,142.858256,1,406
"1097","SNO_COM",2010-08-22,2010-08-22,14843,14843,71.358336,0,407
"1110","SNO_COM",2010-08-26,2010-08-27,14847,14848,394.8494592,1,408
"1121","SNO_COM",2010-08-31,2010-09-01,14852,14853,2247.476099,1,409
"1246","SNO_COM",2010-10-23,2010-10-24,14905,14906,845.398064,1,410
"1302","SNO_COM",2010-11-01,2010-11-01,14914,14914,704.4370336,0,411
"1371","SNO_COM",2010-11-29,2010-12-01,14942,14944,673.6849888,2,412
"1475","SNO_COM",2010-12-11,2010-12-13,14954,14956,4053.974672,2,413
"432","SNO_COM",2011-01-04,2011-01-05,14978,14979,249.89576,1,414
"556","SNO_COM",2011-01-29,2011-01-30,15003,15004,113.125616,1,415
"778","SNO_COM",2011-03-21,2011-03-21,15054,15054,567.0156032,0,416
"851","SNO_COM",2011-04-03,2011-04-04,15067,15068,169.0229792,1,417
"1138","SNO_COM",2011-09-17,2011-09-18,15234,15235,232.2260768,1,418
"1162","SNO_COM",2011-09-25,2011-09-25,15242,15242,56.9450848,0,419
"1179","SNO_COM",2011-10-02,2011-10-03,15249,15250,48.2518272,1,420
"1280","SNO_COM",2011-10-28,2011-10-28,15275,15275,32.8758048,0,421
"1313","SNO_COM",2011-11-02,2011-11-02,15280,15280,312.1360864,0,422
"1354","SNO_COM",2011-11-11,2011-11-12,15289,15290,69.0646752,1,423
"1441","SNO_COM",2011-11-16,2011-11-17,15294,15295,222.0886624,1,424
"421","SNO_COM",2012-01-02,2012-01-02,15341,15341,324.510528,0,425
"315","SNO_COM",2012-01-04,2012-01-05,15343,15344,430.7834784,1,426
"572","SNO_COM",2012-01-31,2012-02-01,15370,15371,658.1107488,1,427
"648","SNO_COM",2012-02-20,2012-02-23,15390,15393,1615.133638,3,428
"689","SNO_COM",2012-02-28,2012-03-01,15398,15400,657.4594624,2,429
"763","SNO_COM",2012-03-14,2012-03-15,15413,15414,1396.386358,1,430
"1040","SNO_COM",2012-06-12,2012-06-13,15503,15504,628.774544,1,431
"1062","SNO_COM",2012-06-22,2012-06-23,15513,15514,707.0138624,1,432
"1096","SNO_HDR",2009-08-10,2009-08-11,14466,14467,72.2644736,1,433
"1150","SNO_HDR",2009-09-19,2009-09-19,14506,14506,95.4559328,0,434
"1173","SNO_HDR",2009-09-29,2009-09-30,14516,14517,79.853376,1,435
"1236","SNO_HDR",2009-10-23,2009-10-23,14540,14540,158.9705152,0,436
"1330","SNO_HDR",2009-11-05,2009-11-06,14553,14554,191.3649344,1,437
"1498","SNO_HDR",2009-12-14,2009-12-15,14592,14593,89.19792,1,438
"1515","SNO_HDR",2009-12-31,2010-01-02,14609,14611,81.1842656,2,439
"459","SNO_HDR",2010-01-08,2010-01-10,14617,14619,258.3908,2,440
"541","SNO_HDR",2010-01-24,2010-01-25,14633,14634,114.1450208,1,441
"673","SNO_HDR",2010-02-26,2010-02-27,14666,14667,87.2440608,1,442
"805","SNO_HDR",2010-03-25,2010-03-26,14693,14694,37.8312448,1,443
"942","SNO_HDR",2010-04-26,2010-04-27,14725,14726,106.2729504,1,444
"1086","SNO_HDR",2010-08-07,2010-08-08,14828,14829,20.3031456,1,445
"1114","SNO_HDR",2010-08-26,2010-08-27,14847,14848,75.5775392,1,446
"1117","SNO_HDR",2010-08-31,2010-09-01,14852,14853,263.2329728,1,447
"1247","SNO_HDR",2010-10-23,2010-10-24,14905,14906,247.488832,1,448
"1304","SNO_HDR",2010-11-01,2010-11-02,14914,14915,213.1688704,1,449
"1367","SNO_HDR",2010-11-15,2010-11-15,14928,14928,46.9775712,0,450
"1453","SNO_HDR",2010-11-29,2010-11-30,14942,14943,79.1737728,1,451
"1481","SNO_HDR",2010-12-11,2010-12-13,14954,14956,1980.618576,2,452
"436","SNO_HDR",2011-01-04,2011-01-05,14978,14979,80.3347616,1,453
"607","SNO_HDR",2011-02-12,2011-02-13,15017,15018,55.6991456,1,454
"850","SNO_HDR",2011-04-03,2011-04-05,15067,15069,79.6551584,2,455
"926","SNO_HDR",2011-04-25,2011-04-25,15089,15089,75.1244704,0,456
"1014","SNO_HDR",2011-05-25,2011-05-26,15119,15120,38.8789664,1,457
"1142","SNO_HDR",2011-09-17,2011-09-18,15234,15235,23.4463104,1,458
"1285","SNO_HDR",2011-10-28,2011-10-28,15275,15275,14.9512704,0,459
"1316","SNO_HDR",2011-11-02,2011-11-02,15280,15280,42.050448,0,460
"1356","SNO_HDR",2011-11-11,2011-11-12,15289,15290,41.8805472,1,461
"1445","SNO_HDR",2011-11-16,2011-11-17,15294,15295,68.4700224,1,462
"423","SNO_HDR",2012-01-02,2012-01-02,15341,15341,64.1658688,0,463
"443","SNO_HDR",2012-01-04,2012-01-05,15343,15344,85.1203008,1,464
"573","SNO_HDR",2012-01-31,2012-02-01,15370,15371,85.1769344,1,465
"650","SNO_HDR",2012-02-20,2012-02-23,15390,15393,375.8205696,3,466
"691","SNO_HDR",2012-02-28,2012-02-29,15398,15399,90.9818784,1,467
"764","SNO_HDR",2012-03-14,2012-03-15,15413,15414,314.741232,1,468
"1044","SNO_HDR",2012-06-12,2012-06-13,15503,15504,70.9052672,1,469
"1066","SNO_HDR",2012-06-22,2012-06-23,15513,15514,50.26232,1,470
"1088","SNO_LDR",2009-08-10,2009-08-11,14466,14467,162.6516992,1,471
"1153","SNO_LDR",2009-09-19,2009-09-19,14506,14506,241.0609184,0,472
"1177","SNO_LDR",2009-10-01,2009-10-03,14518,14520,177.6029696,2,473
"1235","SNO_LDR",2009-10-23,2009-10-24,14540,14541,3272.62921,1,474
"1494","SNO_LDR",2009-12-14,2009-12-15,14592,14593,423.052992,1,475
"462","SNO_LDR",2010-01-08,2010-01-10,14617,14619,3713.436835,2,476
"531","SNO_LDR",2010-01-24,2010-01-27,14633,14636,960.9589248,3,477
"600","SNO_LDR",2010-02-10,2010-02-12,14650,14652,1122.732803,2,478
"735","SNO_LDR",2010-03-11,2010-03-14,14679,14682,2805.40201,3,479
"939","SNO_LDR",2010-04-26,2010-04-27,14725,14726,574.0098528,1,480
"1083","SNO_LDR",2010-08-07,2010-08-09,14828,14830,86.932576,2,481
"1101","SNO_LDR",2010-08-22,2010-08-22,14843,14843,53.943504,0,482
"1115","SNO_LDR",2010-08-26,2010-08-27,14847,14848,218.6340128,1,483
"1123","SNO_LDR",2010-08-31,2010-09-01,14852,14853,929.1308416,1,484
"1295","SNO_LDR",2010-10-30,2010-10-31,14912,14913,986.274144,1,485
"1461","SNO_LDR",2010-12-07,2010-12-09,14950,14952,2598.519469,2,486
"1478","SNO_LDR",2010-12-11,2010-12-13,14954,14956,11640.49846,2,487
"1504","SNO_LDR",2010-12-27,2010-12-29,14970,14972,2866.594614,2,488
"435","SNO_LDR",2011-01-04,2011-01-06,14978,14980,1967.706115,2,489
"584","SNO_LDR",2011-02-03,2011-02-05,15008,15010,1941.314858,2,490
"603","SNO_LDR",2011-02-12,2011-02-13,15017,15018,916.5298656,1,491
"747","SNO_LDR",2011-03-12,2011-03-13,15045,15046,2113.792486,1,492
"776","SNO_LDR",2011-03-21,2011-03-23,15054,15056,755.1807392,2,493
"824","SNO_LDR",2011-03-28,2011-03-29,15061,15062,509.136064,1,494
"907","SNO_LDR",2011-04-20,2011-04-24,15084,15088,3453.290394,4,495
"972","SNO_LDR",2011-05-02,2011-05-05,15096,15099,5667.550886,3,496
"920","SNO_LDR",2011-05-25,2011-05-27,15119,15121,803.9705856,2,497
"1139","SNO_LDR",2011-09-17,2011-09-18,15234,15235,136.8550944,1,498
"1182","SNO_LDR",2011-10-02,2011-10-04,15249,15251,188.6748384,2,499
"1283","SNO_LDR",2011-10-28,2011-10-29,15275,15276,160.0182368,1,500
"1319","SNO_LDR",2011-11-02,2011-11-03,15280,15281,344.615456,1,501
"1348","SNO_LDR",2011-11-11,2011-11-12,15289,15290,343.5394176,1,502
"1439","SNO_LDR",2011-11-16,2011-11-17,15294,15295,743.2027328,1,503
"422","SNO_LDR",2012-01-02,2012-01-04,15341,15343,1187.521642,2,504
"577","SNO_LDR",2012-01-31,2012-02-03,15370,15373,5901.730822,3,505
"649","SNO_LDR",2012-02-20,2012-02-23,15390,15393,11115.30677,3,506
"771","SNO_LDR",2012-03-14,2012-03-15,15413,15414,5292.523187,1,507
"1042","SNO_LDR",2012-06-12,2012-06-16,15503,15507,2123.873267,4,508
"1063","SNO_LDR",2012-06-22,2012-06-23,15513,15514,1417.057622,1,509
"1216","TAC001S8D_OF235",2009-10-16,2009-10-17,14533,14534,7186.80384,1,510
"1253","TAC001S8D_OF235",2009-10-28,2009-10-29,14545,14546,1492.29536,1,511
"1337","TAC001S8D_OF235",2009-11-05,2009-11-06,14553,14554,4771.3808,1,512
"1415","TAC001S8D_OF235",2009-11-25,2009-11-27,14573,14575,9265.25696,2,513
"1508","TAC001S8D_OF235",2009-12-31,2009-12-31,14609,14609,2098.27488,0,514
"414","TAC001S8D_OF235",2010-01-04,2010-01-04,14613,14613,8872.219776,0,515
"452","TAC001S8D_OF235",2010-01-07,2010-01-09,14616,14618,8563.00032,2,516
"529","TAC001S8D_OF235",2010-01-24,2010-01-24,14633,14633,3437.65952,0,517
"629","TAC001S8D_OF235",2010-02-15,2010-02-16,14655,14656,1883.0672,1,518
"740","TAC001S8D_OF235",2010-03-11,2010-03-12,14679,14680,9709.83072,1,519
"812","TAC001S8D_OF235",2010-03-28,2010-03-28,14696,14696,1325.22624,0,520
"835","TAC001S8D_OF235",2010-04-02,2010-04-03,14701,14702,8024.98112,1,521
"1006","TAC001S8D_OF235",2010-05-25,2010-05-26,14754,14755,3446.15456,1,522
"1023","TAC001S8D_OF235",2010-06-04,2010-06-04,14764,14764,2183.22528,0,523
"1056","TAC001S8D_OF235",2010-06-19,2010-06-19,14779,14779,1183.64224,0,524
"1168","TAC001S8D_OF235",2010-09-26,2010-09-26,14878,14878,1713.1664,0,525
"1184","TAC001S8D_OF235",2010-10-08,2010-10-10,14890,14892,11489.44939,2,526
"1292","TAC001S8D_OF235",2010-10-30,2010-10-31,14912,14913,3591.755539,1,527
"1347","TAC001S8D_OF235",2010-11-09,2010-11-10,14922,14923,2493.506446,1,528
"1374","TAC001S8D_OF235",2010-11-29,2010-12-01,14942,14944,5015.861878,2,529
"1471","TAC001S8D_OF235",2010-12-11,2010-12-13,14954,14956,24870.21103,2,530
"517","TAC001S8D_OF235",2011-01-20,2011-01-21,14994,14995,1838.100645,1,531
"553","TAC001S8D_OF235",2011-01-29,2011-01-29,15003,15003,1192.008297,0,532
"612","TAC001S8D_OF235",2011-02-12,2011-02-12,15017,15017,4523.895805,0,533
"708","TAC001S8D_OF235",2011-03-04,2011-03-05,15037,15038,1768.874437,1,534
"845","TAC001S8D_OF235",2011-04-03,2011-04-05,15067,15069,3565.518863,2,535
"876","TAC001S8D_OF235",2011-04-13,2011-04-13,15077,15077,1641.552731,0,536
"969","TAC001S8D_OF235",2011-05-02,2011-05-02,15096,15096,1624.231982,0,537
"916","TAC001S8D_OF235",2011-05-25,2011-05-25,15119,15119,2666.089258,0,538
"1105","TAC001S8D_OF235",2011-08-22,2011-08-23,15208,15209,2307.294192,1,539
"1207","TAC001S8D_OF235",2011-10-11,2011-10-11,15258,15258,4495.501261,0,540
"1271","TAC001S8D_OF235",2011-10-28,2011-10-28,15275,15275,1955.2572,0,541
"1358","TAC001S8D_OF235",2011-11-11,2011-11-11,15289,15289,883.3015166,0,542
"1389","TAC001S8D_OF235",2011-11-21,2011-11-21,15299,15299,1271.797252,0,543
"318","TAC001S8D_OF235",2012-01-04,2012-01-05,15343,15344,5052.434101,1,544
"575","TAC001S8D_OF235",2012-01-31,2012-02-01,15370,15371,5688.474736,1,545
"636","TAC001S8D_OF235",2012-02-17,2012-02-18,15387,15388,12443.22651,1,546
"711","TAC001S8D_OF235",2012-03-05,2012-03-05,15404,15404,2565.912957,0,547
"770","TAC001S8D_OF235",2012-03-14,2012-03-15,15413,15414,8992.422043,1,548
"855","TAC001S8D_OF235",2012-04-03,2012-04-03,15433,15433,1378.958784,0,549
"899","TAC001S8D_OF235",2012-04-19,2012-04-20,15449,15450,7516.694277,1,550
"1027","TAC001S8D_OF235",2012-06-05,2012-06-05,15496,15496,1176.220973,0,551
"1239","TAC003S8D_OF245",2009-10-23,2009-10-23,14540,14540,1163.82048,0,552
"1338","TAC003S8D_OF245",2009-11-05,2009-11-06,14553,14554,2038.8096,1,553
"1417","TAC003S8D_OF245",2009-11-25,2009-11-26,14573,14574,3157.3232,1,554
"1510","TAC003S8D_OF245",2009-12-31,2009-12-31,14609,14609,597.48448,0,555
"416","TAC003S8D_OF245",2010-01-04,2010-01-04,14613,14613,3066.70944,0,556
"457","TAC003S8D_OF245",2010-01-08,2010-01-08,14617,14617,2387.10624,0,557
"532","TAC003S8D_OF245",2010-01-24,2010-01-24,14633,14633,724.91008,0,558
"630","TAC003S8D_OF245",2010-02-15,2010-02-16,14655,14656,387.94016,1,559
"836","TAC003S8D_OF245",2010-04-02,2010-04-03,14701,14702,2800.53152,1,560
"1018","TAC003S8D_OF245",2010-05-28,2010-05-28,14757,14757,761.72192,0,561
"1021","TAC003S8D_OF245",2010-06-04,2010-06-04,14764,14764,622.9696,0,562
"1035","TAC003S8D_OF245",2010-06-09,2010-06-09,14769,14769,1299.74112,0,563
"1379","TAC003S8D_OF245",2010-11-17,2010-11-18,14930,14931,1223.753539,1,564
"1376","TAC003S8D_OF245",2010-11-29,2010-11-30,14942,14943,664.2081487,1,565
"520","TAC003S8D_OF245",2011-01-20,2011-01-21,14994,14995,239.5374462,1,566
"610","TAC003S8D_OF245",2011-02-12,2011-02-12,15017,15017,1445.572711,0,567
"749","TAC003S8D_OF245",2011-03-12,2011-03-12,15045,15045,1086.039384,0,568
"847","TAC003S8D_OF245",2011-04-03,2011-04-04,15067,15068,347.4939861,1,569
"888","TAC003S8D_OF245",2011-04-13,2011-04-13,15077,15077,126.8106016,0,570
"951","TAC003S8D_OF245",2011-04-26,2011-04-26,15090,15090,467.546656,0,571
"966","TAC003S8D_OF245",2011-05-02,2011-05-02,15096,15096,400.1377066,0,572
"1205","TAC003S8D_OF245",2011-10-10,2011-10-11,15257,15258,1842.246267,1,573
"1275","TAC003S8D_OF245",2011-10-28,2011-10-28,15275,15275,1029.874654,0,574
"1360","TAC003S8D_OF245",2011-11-11,2011-11-11,15289,15289,264.6952524,0,575
"1403","TAC003S8D_OF245",2011-11-21,2011-11-21,15299,15299,522.2914829,0,576
"442","TAC003S8D_OF245",2012-01-04,2012-01-05,15343,15344,1809.592466,1,577
"714","TAC003S8D_OF245",2012-03-05,2012-03-05,15404,15404,844.6847638,0,578
"765","TAC003S8D_OF245",2012-03-14,2012-03-16,15413,15415,3102.004349,2,579
"856","TAC003S8D_OF245",2012-04-03,2012-04-03,15433,15433,277.4160084,0,580
"900","TAC003S8D_OF245",2012-04-19,2012-04-20,15449,15450,2038.964493,1,581
"964","TAC003S8D_OF245",2012-04-29,2012-04-30,15459,15460,1999.609521,1,582
"1004","TAC003S8D_OF245",2012-05-20,2012-05-20,15480,15480,555.6268694,0,583
"1030","TAC003S8D_OF245",2012-06-05,2012-06-05,15496,15496,659.3244068,0,584
"1214","TFWFD1",2009-10-16,2009-10-17,14533,14534,108643.0666,1,585
"1256","TFWFD1",2009-10-28,2009-10-29,14545,14546,25439.81312,1,586
"1335","TFWFD1",2009-11-05,2009-11-06,14553,14554,64740.69984,1,587
"1419","TFWFD1",2009-11-25,2009-11-26,14573,14574,186211.2768,1,588
"1513","TFWFD1",2009-12-31,2009-12-31,14609,14609,47679.82784,0,589
"472","TFWFD1",2010-01-10,2010-01-11,14619,14620,142886.5728,1,590
"530","TFWFD1",2010-01-24,2010-01-24,14633,14633,52572.97088,0,591
"632","TFWFD1",2010-02-15,2010-02-16,14655,14656,42829.16,1,592
"743","TFWFD1",2010-03-11,2010-03-12,14679,14680,156201.1322,1,593
"1009","TFWFD1",2010-05-25,2010-05-25,14754,14754,62313.95008,0,594
"1033","TFWFD1",2010-06-08,2010-06-09,14768,14769,41778.60672,1,595
"1169","TFWFD1",2010-09-26,2010-09-26,14878,14878,19142.1568,0,596
"1187","TFWFD1",2010-10-08,2010-10-10,14890,14892,121812.2308,2,597
"1290","TFWFD1",2010-10-30,2010-10-31,14912,14913,41989.24472,1,598
"1380","TFWFD1",2010-11-17,2010-11-18,14930,14931,75800.19947,1,599
"1470","TFWFD1",2010-12-11,2010-12-13,14954,14956,336888.3492,2,600
"519","TFWFD1",2011-01-20,2011-01-21,14994,14995,54748.21986,1,601
"614","TFWFD1",2011-02-12,2011-02-12,15017,15017,44641.47739,0,602
"702","TFWFD1",2011-03-04,2011-03-05,15037,15038,29260.0272,1,603
"846","TFWFD1",2011-04-03,2011-04-05,15067,15069,96325.62826,2,604
"877","TFWFD1",2011-04-13,2011-04-14,15077,15078,40374.83729,1,605
"952","TFWFD1",2011-04-26,2011-04-26,15090,15090,15411.94606,0,606
"985","TFWFD1",2011-05-14,2011-05-15,15108,15109,243082.2938,1,607
"917","TFWFD1",2011-05-25,2011-05-25,15119,15119,29968.58784,0,608
"1107","TFWFD1",2011-08-22,2011-08-23,15208,15209,26435.66604,1,609
"1267","TFWFD1",2011-10-28,2011-10-28,15275,15275,20005.92001,0,610
"1430","TFWFD1",2011-11-16,2011-11-17,15294,15295,22789.96067,1,611
"467","TFWFD1",2012-01-09,2012-01-10,15348,15349,20433.14605,1,612
"560","TFWFD1",2012-01-29,2012-01-30,15368,15369,154674.8034,1,613
"713","TFWFD1",2012-03-05,2012-03-05,15404,15404,113715.4549,0,614
"760","TFWFD1",2012-03-14,2012-03-15,15413,15414,37798.64565,1,615
"859","TFWFD1",2012-04-03,2012-04-03,15433,15433,13785.61301,0,616
"901","TFWFD1",2012-04-19,2012-04-20,15449,15450,81738.94499,1,617
"962","TFWFD1",2012-04-29,2012-04-30,15459,15460,28864.20537,1,618
"1026","TFWFD1",2012-06-05,2012-06-05,15496,15496,19984.90781,0,619
